,Dummy_application_id,ever60_24m_StrictFlag,NATURE_OF_ORGANISATION,OCCUPATION_TYPE,Max_dependent,LTV,Doc_form_16,income_max,income_sum,income_min,edu_max,edu_min,age_max,age_min,cnt_coapplicant,REQUESTED_TENURE,PROPERTY_INSURANCE_AMT,Organization_type,SALARIED_SELF,CHANNEL_CODE,City_tier,FOIR2,Loan_sub_type_1,SAL_FLAG,emi_income_max,emi_income_sum,All_No_of_TL,All_open_TL,All_Vin_bureau,All_min_Vin_bureau,All_Delq_TL_24_M,No_of_enq_All,Latest_Bureau_prd,Bureau_TL
3590,6918073,0,Proprietor-Proprietorship Firm (Staff More than 25),SALARIED,2,0.453267139,0,13692.0,23692.0,10000.0,2,2,49,24,1,300.0,16032.0,3.Private Ltd Co,SALARIED,DSA,3,58.00270133,Builder Ready,SAL,1.003651767,0.580027013,2,1,63,43,0,2,CL,13.>36 Others
3591,6918215,0,Private Ltd. Co.,SALARIED,0,0.67860114,1,10178.0,19678.0,9500.0,3,3,33,32,1,300.0,7514.0,3.Private Ltd Co,SALARIED,DSA,2,55.42229901,Builder Ready,SAL,1.071526823,0.55422299,2,-999,44,20,0,2,CL,10.<36 Others
3592,6918269,0,Proprietor-Proprietorship Firm (Staff More than 25),SERVICES,1,0.608870647,0,27359.0833,27359.0833,0.0,3,3,34,28,1,360.0,9549.0,3.Private Ltd Co,SELF_EMP,UBL Sales,1,59.8777372,Builder UNC,NONSAL,0.598777372,0.598777372,3,-999,12,12,0,8,CL,10.<36 Others
3593,6918311,0,Private Ltd. Co.,SERV-PRIVATE SECTOR,1,0.8,0,40609.0,40609.0,0.0,3,2,69,26,1,300.0,0.0,3.Private Ltd Co,SALARIED,CROSS SALES,1,48.58036396,Builder UNC,SAL,0.48580364,0.48580364,6,4,47,8,1,13,CC,9.<36 CC
3594,6918355,0,Private Ltd. Co.,SALARIED,2,0.630530702,1,14408.0,14408.0,0.0,3,3,29,26,1,240.0,7798.0,3.Private Ltd Co,SALARIED,DSA,1,48.47307052,Builder UNC,SAL,0.484730705,0.484730705,1,-999,49,49,0,1,TWL,12.>36 PL TWL GL
3595,6920015,0,Proprietor-Proprietorship Firm (Staff More than 25),SERVICES,2,0.777263099,0,42449.1667,77410.6667,34961.5,3,3,39,37,1,240.0,5673.0,3.Private Ltd Co,SELF_EMP,CROSS SALES,2,54.14111748,Builder Ready,NONSAL,0.459302302,0.251864515,6,5,173,15,0,17,HL,7.<36 AL HL LAS
3596,6920501,0,Proprietor-Proprietorship Firm (Staff Less than 25),PROPRIETOR,1,0.850042005,1,49757.8333,49757.8333,0.0,2,2,28,28,1,180.0,6505.0,3.Private Ltd Co,SELF_EMP,Open Market sales,2,62.65747106,Resale Ready,NONSAL,0.58845006,0.58845006,2,2,17,5,0,2,CC,2.<6 CC
3597,6920819,0,Proprietor-Proprietorship Firm (Staff Less than 25),SERVICES,2,0.37174365,0,30000.0,30000.0,0.0,1,1,34,34,1,240.0,14261.0,3.Private Ltd Co,SELF_EMP,DSA,1,45.29333333,Builder Ready,NONSAL,0.452933333,0.452933333,5,1,48,14,2,5,TWL,8.<36 TWL GL
3598,6920905,0,Public Ltd. Co.,SALARIED,1,0.708456973,1,15762.0,15762.0,0.0,3,3,30,21,1,336.0,5700.0,4.Public Ltd. Co.,SALARIED,DSA,3,54.23804086,Others+P_Cons,SAL,0.542380409,0.542380409,1,1,9,9,0,1,BL_PSL,8.<36 TWL GL
3599,6921043,0,Proprietor-Proprietorship Firm (Staff Less than 25),MANUFACTURING,0,0.718898769,1,26125.5,26125.5,0.0,3,1,37,30,1,300.0,11030.0,3.Private Ltd Co,SELF_EMP,CROSS SALES,1,36.84140016,Builder Ready,NONSAL,0.368414002,0.368414002,2,1,33,21,0,3,CL,10.<36 Others
3600,6921143,1,Government,SALARIED,0,0.520855543,0,55784.0,73784.0,18000.0,3,3,59,32,1,240.0,5289.0,2.Govt,SALARIED,CROSS SALES,2,60.67304565,Resale Ready,SAL,0.802506095,0.606730456,3,2,132,31,0,-11111,TWL,8.<36 TWL GL
3601,6921161,0,Private Ltd. Co.,SALARIED,0,0.754168254,1,28650.0,28650.0,0.0,3,3,54,35,1,240.0,7695.0,3.Private Ltd Co,SALARIED,DSA,2,58.69109948,Builder UNC,SAL,0.402827225,0.402827225,3,1,99,15,1,7,GL,8.<36 TWL GL
3602,6921217,0,Proprietor-Proprietorship Firm (Staff Less than 25),SERVICES,2,0.740626447,1,32690.25,32690.25,0.0,2,2,31,27,1,240.0,8704.0,3.Private Ltd Co,SELF_EMP,Open Market sales,2,68.5189009,Resale Ready,NONSAL,0.557138596,0.557138596,2,2,5,2,0,4,BL_PSL,5.<6 Others
3603,6921523,0,Proprietor-Proprietorship Firm (Staff More than 25),PROPRIETOR,2,0.524152334,1,25362.75,25362.75,0.0,1,1,52,30,1,144.0,6156.0,3.Private Ltd Co,SELF_EMP,DSA,2,72.06237494,Builder Ready,NONSAL,0.511143311,0.511143311,4,2,28,6,0,5,TWL,8.<36 TWL GL
3604,6923299,0,Proprietor-Proprietorship Firm (Staff Less than 25),PROPRIETOR,2,0.780295261,0,38354.0,65520.0,27166.0,3,3,52,44,1,180.0,0.0,3.Private Ltd Co,SELF_EMP,CROSS SALES,3,58.84310134,Builder Ready,NONSAL,0.744485582,0.435805861,1,-999,59,59,0,2,AL,13.>36 Others
3605,6923329,0,Proprietor-Proprietorship Firm (Staff Less than 25),PROPRIETOR,1,0.374084834,0,25990.0,45783.0,19793.0,3,3,53,52,1,96.0,0.0,3.Private Ltd Co,SELF_EMP,DSA,3,34.98460127,Builder UNC,NONSAL,0.616275491,0.349846013,1,-999,65,65,0,2,AL,13.>36 Others
3606,6923397,0,Proprietor-Proprietorship Firm (Staff Less than 25),SERVICES,1,0.575923211,1,21832.75,21832.75,0.0,1,1,44,40,1,120.0,4001.0,3.Private Ltd Co,SELF_EMP,CROSS SALES,1,28.46640941,Builder Ready,NONSAL,0.284664094,0.284664094,1,-999,41,41,0,2,CC,11.>36 CC
3607,6923399,0,Private Ltd. Co.,SAL(RETIRAL AGE 58),2,0.434782609,0,28098.0,39402.0,11304.0,3,2,47,43,1,144.0,0.0,3.Private Ltd Co,SALARIED,CROSS SALES,2,,Builder UNC,SAL,0.833938359,0.594690625,2,-999,50,22,0,3,CL,10.<36 Others
3608,6923623,1,Proprietor-Proprietorship Firm (Staff Less than 25),SELF-EMPLOYED,2,0.662281614,1,37374.6667,37374.6667,0.0,1,1,32,30,1,240.0,11400.0,3.Private Ltd Co,SELF_EMP,CROSS SALES,3,58.58246222,Others+P_Cons,NONSAL,0.585824622,0.585824622,1,-999,32,32,0,3,TWL,8.<36 TWL GL
3609,6923795,0,Public Ltd. Co.,SERV-PUBLIC SECTOR,1,0.505050505,0,21383.0,21383.0,0.0,2,2,33,28,1,180.0,0.0,4.Public Ltd. Co.,SALARIED,DSA,1,25.27241266,Builder UNC,SAL,0.252724127,0.252724127,1,1,69,69,0,5,CC,11.>36 CC
3610,6923829,0,Proprietor-Proprietorship Firm (Staff Less than 25),PROPRIETOR,2,0.66,0,71312.6667,114456.5834,43143.9167,3,2,36,31,1,360.0,20000.0,3.Private Ltd Co,SELF_EMP,DSA,1,,Builder UNC,NONSAL,0.252942441,0.157596876,15,13,71,1,1,24,Others,4.<6 BL CL Oth
3611,6923929,0,Private Ltd. Co.,SALARIED,2,0.654956317,0,55000.0,55000.0,0.0,3,3,42,42,1,204.0,12907.0,3.Private Ltd Co,SALARIED,DSA,1,47.03636364,Builder Ready,SAL,0.397818182,0.397818182,5,5,114,9,0,9,HL,7.<36 AL HL LAS
3612,6924109,0,Proprietor-Proprietorship Firm (Staff More than 25),PROPRIETOR,0,0.683550332,0,28001.25,52205.4167,24204.1667,2,2,46,23,1,216.0,8118.0,3.Private Ltd Co,SELF_EMP,DSA,2,52.09229563,Builder Ready,NONSAL,0.623186465,0.334256503,7,2,108,23,0,31,AL,7.<36 AL HL LAS
3613,6924169,0,Proprietor-Proprietorship Firm (Staff More than 25),SALARIED,2,0.655382047,0,13473.0,13473.0,0.0,3,3,28,27,1,360.0,6635.0,3.Private Ltd Co,SALARIED,CROSS SALES,2,58.02716544,Builder UNC,SAL,0.580271654,0.580271654,1,1,32,32,0,3,CC,9.<36 CC
3614,6924301,0,Proprietor-Proprietorship Firm (Staff Less than 25),OTHERS,0,0.541633889,1,35602.0833,35602.0833,0.0,1,1,33,31,1,240.0,7387.0,3.Private Ltd Co,SELF_EMP,UBL Sales,1,,Resale Ready,NONSAL,0.563450173,0.563450173,3,1,51,7,0,5,HL,7.<36 AL HL LAS
3615,6924329,0,Proprietor-Proprietorship Firm (Staff Less than 25),SERVICES,2,0.532353299,0,17793.4167,17793.4167,0.0,3,1,25,22,1,240.0,4104.0,3.Private Ltd Co,SELF_EMP,DSA,1,34.06316,Resale Ready,NONSAL,0.3406316,0.3406316,1,1,22,22,0,1,TWL,8.<36 TWL GL
3616,6925831,0,Private Ltd. Co.,SALARIED,0,0.777073636,0,62209.0,85695.0,23486.0,3,3,45,40,1,180.0,0.0,3.Private Ltd Co,SALARIED,ALTERNATE CHANNELS,1,,Builder Ready,SAL,0.460785417,0.334500263,20,11,134,2,2,34,CC,2.<6 CC
3617,6933511,0,Director-Pvt. Ltd. Co. (Staff Less than 50),SALARIED,0,0.5,0,30000.0,30000.0,0.0,3,3,25,24,1,240.0,0.0,3.Private Ltd Co,SALARIED,DSA,3,,Self Construction,SAL,0.540133333,0.540133333,1,1,1,1,0,2,CC,2.<6 CC
3618,6935509,0,Proprietor-Proprietorship Firm (Staff Less than 25),SERVICES,2,0.595947116,0,33017.9167,55924.0834,22906.1667,1,1,43,34,1,240.0,0.0,3.Private Ltd Co,SELF_EMP,ALTERNATE CHANNELS,1,64.02250663,Builder Ready,NONSAL,1.084380954,0.640225066,3,2,106,27,0,1,BL,10.<36 Others
3619,6935885,0,Proprietor-Proprietorship Firm (Staff More than 25),PROPRIETOR,1,0.637317116,0,24602.0,24602.0,0.0,1,1,34,33,1,240.0,9662.0,3.Private Ltd Co,SELF_EMP,CROSS SALES,2,57.88553776,Builder Ready,NONSAL,0.578855378,0.578855378,1,1,11,11,0,1,CL,10.<36 Others
3620,6936013,0,Proprietor-Proprietorship Firm (Staff Less than 25),PROPRIETOR,2,0.596590909,0,20538.5,20538.5,0.0,1,1,45,37,1,240.0,0.0,3.Private Ltd Co,SELF_EMP,CROSS SALES,2,,Builder UNC,NONSAL,0.51727244,0.51727244,2,1,10,5,0,2,HL,5.<6 Others
3621,6936321,0,Proprietor-Proprietorship Firm (Staff Less than 25),PROPRIETOR,2,0.439814815,0,23166.5833,23166.5833,0.0,3,3,42,40,1,240.0,0.0,3.Private Ltd Co,SELF_EMP,DSA,1,40.5282034,Builder Ready,NONSAL,0.405282034,0.405282034,4,2,117,28,0,3,HL,7.<36 AL HL LAS
3622,6936505,0,Proprietor-Proprietorship Firm (Staff Less than 25),SERVICES,0,0.714285714,0,39768.3333,39768.3333,39768.3333,3,3,34,34,0,240.0,0.0,3.Private Ltd Co,SELF_EMP,DSA,1,,Builder Ready,NONSAL,0.615011945,0.615011945,6,4,24,8,2,28,CL,10.<36 Others
3623,6937427,0,Proprietor-Proprietorship Firm (Staff More than 25),PROPRIETOR,0,0.639428822,0,18350.9167,18350.9167,0.0,2,2,31,25,1,240.0,5977.0,3.Private Ltd Co,SELF_EMP,CROSS SALES,2,39.31138764,Builder Ready,NONSAL,0.393113876,0.393113876,1,-999,57,57,0,2,TWL,12.>36 PL TWL GL
3624,6937447,0,Proprietor-Proprietorship Firm (Staff More than 25),MANUFACTURING,3,0.540612603,0,29600.6667,29600.6667,0.0,2,1,48,23,1,180.0,4708.0,3.Private Ltd Co,SELF_EMP,CROSS SALES,2,46.8300263,Builder Ready,NONSAL,0.468300263,0.468300263,2,1,53,4,0,6,AL,5.<6 Others
3625,6937525,0,Government,SALARIED,3,0.576923077,0,10500.0,17500.0,7000.0,1,1,41,37,1,216.0,0.0,2.Govt,SALARIED,CROSS SALES,2,,Self Construction,SAL,,,3,-999,62,51,0,1,BL_PSL,12.>36 PL TWL GL
3626,6937577,0,Proprietor-Proprietorship Firm (Staff Less than 25),SELF-EMPLOYED,2,0.125462537,0,23062.8333,23062.8333,0.0,2,2,39,39,1,180.0,6419.0,3.Private Ltd Co,SELF_EMP,DSA,2,54.10003115,Resale Ready,NONSAL,0.142176807,0.142176807,1,1,32,32,0,1,HL,7.<36 AL HL LAS
3627,6937601,0,Proprietor-Proprietorship Firm (Staff Less than 25),TRADING,0,0.085714286,0,29602.5,29602.5,0.0,2,2,31,30,1,180.0,10000.0,3.Private Ltd Co,SELF_EMP,CROSS SALES,2,,Resale Ready,NONSAL,0.107963854,0.107963854,1,1,36,36,0,1,HL,13.>36 Others
